Path,URL,Size in bytes (optional but recommended),MD5 Hash (optional but recommended),Filter Terms (optional),Overwrite (optional),Comments (optional)
docs/ATARI5200/Atari 5200 Manuals/!System Manual (Atari 5200).pdf,https://archive.org/download/mister-manuals/1982_Atari%205200zip.zip/1982_Atari%205200%2F%21System%20Manual%20%28Atari%205200%29.pdf,1868792,54cf462846962aff54b7c0ae196f448c,,,!System Manual (Atari 5200).pdf
docs/ATARI5200/Atari 5200 Manuals/.Overlays (Atari 5200).pdf,https://archive.org/download/mister-manuals/1982_Atari%205200zip.zip/1982_Atari%205200%2F.Overlays%20%28Atari%205200%29.pdf,1779181,568527d79e8c94dfdd9814445683fb53,,,.Overlays (Atari 5200).pdf
"docs/ATARI5200/Atari 5200 Manuals/Activision Decathlon, The.pdf",https://archive.org/download/mister-manuals/1982_Atari%205200zip.zip/1982_Atari%205200%2FActivision%20Decathlon%2C%20The.pdf,638368,a455a63b81b6050df0fd0461b14f3675,,,"Activision Decathlon, The.pdf"
docs/ATARI5200/Atari 5200 Manuals/Astro Chase.pdf,https://archive.org/download/mister-manuals/1982_Atari%205200zip.zip/1982_Atari%205200%2FAstro%20Chase.pdf,509972,7ba3d1506838f1e80c04ddfcc18c8e14,,,Astro Chase.pdf
docs/ATARI5200/Atari 5200 Manuals/Ballblazer.pdf,https://archive.org/download/mister-manuals/1982_Atari%205200zip.zip/1982_Atari%205200%2FBallblazer.pdf,1226112,988d1a6984cac7b225bcf9cb14353476,,,Ballblazer.pdf
docs/ATARI5200/Atari 5200 Manuals/Beamrider.pdf,https://archive.org/download/mister-manuals/1982_Atari%205200zip.zip/1982_Atari%205200%2FBeamrider.pdf,1655349,393002abcf1abb5a08acecbf7a503f73,,,Beamrider.pdf
docs/ATARI5200/Atari 5200 Manuals/Berzerk.pdf,https://archive.org/download/mister-manuals/1982_Atari%205200zip.zip/1982_Atari%205200%2FBerzerk.pdf,435942,f7f9efff44f5c0c52afeb3cd9ef17ea2,,,Berzerk.pdf
docs/ATARI5200/Atari 5200 Manuals/Blaster.pdf,https://archive.org/download/mister-manuals/1982_Atari%205200zip.zip/1982_Atari%205200%2FBlaster.pdf,1367797,8a9cae947076db733a776e341ffcbc9e,,,Blaster.pdf
docs/ATARI5200/Atari 5200 Manuals/Blueprint.pdf,https://archive.org/download/mister-manuals/1982_Atari%205200zip.zip/1982_Atari%205200%2FBlueprint.pdf,849546,ea1aa7614314101a7c4919660d55b8e2,,,Blueprint.pdf
docs/ATARI5200/Atari 5200 Manuals/Bounty Bob Strikes Back!.pdf,https://archive.org/download/mister-manuals/1982_Atari%205200zip.zip/1982_Atari%205200%2FBounty%20Bob%20Strikes%20Back%21.pdf,1269119,1c1b132954918de57339d3fedce244a1,,,Bounty Bob Strikes Back!.pdf
docs/ATARI5200/Atari 5200 Manuals/Buck Rogers - Planet of Zoom.pdf,https://archive.org/download/mister-manuals/1982_Atari%205200zip.zip/1982_Atari%205200%2FBuck%20Rogers%20-%20Planet%20of%20Zoom.pdf,663523,8acefe6d2843946ad2b2466ee1b7490f,,,Buck Rogers - Planet of Zoom.pdf
docs/ATARI5200/Atari 5200 Manuals/Centipede.pdf,https://archive.org/download/mister-manuals/1982_Atari%205200zip.zip/1982_Atari%205200%2FCentipede.pdf,1032065,1210210fc7ad049ae515715cb1b6f8b7,,,Centipede.pdf
docs/ATARI5200/Atari 5200 Manuals/Choplifter.pdf,https://archive.org/download/mister-manuals/1982_Atari%205200zip.zip/1982_Atari%205200%2FChoplifter.pdf,442150,a4fedb085bae9958d3f9b4ea7277fa64,,,Choplifter.pdf
docs/ATARI5200/Atari 5200 Manuals/Congo Bongo.pdf,https://archive.org/download/mister-manuals/1982_Atari%205200zip.zip/1982_Atari%205200%2FCongo%20Bongo.pdf,530905,b9b8b2e49118d2f101ab611fd98e2111,,,Congo Bongo.pdf
docs/ATARI5200/Atari 5200 Manuals/Countermeasure.pdf,https://archive.org/download/mister-manuals/1982_Atari%205200zip.zip/1982_Atari%205200%2FCountermeasure.pdf,1060369,88720f3be340f07c9e571b9247a974ee,,,Countermeasure.pdf
docs/ATARI5200/Atari 5200 Manuals/Defender.pdf,https://archive.org/download/mister-manuals/1982_Atari%205200zip.zip/1982_Atari%205200%2FDefender.pdf,1531941,02295257cecc6c1121b8b489ca16cb2a,,,Defender.pdf
docs/ATARI5200/Atari 5200 Manuals/Dig Dug.pdf,https://archive.org/download/mister-manuals/1982_Atari%205200zip.zip/1982_Atari%205200%2FDig%20Dug.pdf,530670,3c71bc1c72873148f4a22c38ba30bcaa,,,Dig Dug.pdf
"docs/ATARI5200/Atari 5200 Manuals/Dreadnaught Factor, The.pdf",https://archive.org/download/mister-manuals/1982_Atari%205200zip.zip/1982_Atari%205200%2FDreadnaught%20Factor%2C%20The.pdf,623781,b36c97d6016c2f4059e9039284e4e535,,,"Dreadnaught Factor, The.pdf"
docs/ATARI5200/Atari 5200 Manuals/Frogger .pdf,https://archive.org/download/mister-manuals/1982_Atari%205200zip.zip/1982_Atari%205200%2FFrogger%20.pdf,655839,9eac8c0133e6effce8ed189447d5ab76,,,Frogger .pdf
docs/ATARI5200/Atari 5200 Manuals/Frogger II - Threeedeep!.pdf,https://archive.org/download/mister-manuals/1982_Atari%205200zip.zip/1982_Atari%205200%2FFrogger%20II%20-%20Threeedeep%21.pdf,590930,4ee5f25225fc47f38ca7526345de6966,,,Frogger II - Threeedeep!.pdf
docs/ATARI5200/Atari 5200 Manuals/Galaxian.pdf,https://archive.org/download/mister-manuals/1982_Atari%205200zip.zip/1982_Atari%205200%2FGalaxian.pdf,1081798,45ef5d218b988464f44909ffacd298b9,,,Galaxian.pdf
docs/ATARI5200/Atari 5200 Manuals/Gorf.pdf,https://archive.org/download/mister-manuals/1982_Atari%205200zip.zip/1982_Atari%205200%2FGorf.pdf,714631,510bf56a1744785621158a20ab278fcf,,,Gorf.pdf
docs/ATARI5200/Atari 5200 Manuals/Gremlins.pdf,https://archive.org/download/mister-manuals/1982_Atari%205200zip.zip/1982_Atari%205200%2FGremlins.pdf,660229,43fbd074a7c41864d1cd0e21f6ddc6c3,,,Gremlins.pdf
docs/ATARI5200/Atari 5200 Manuals/Gyruss.pdf,https://archive.org/download/mister-manuals/1982_Atari%205200zip.zip/1982_Atari%205200%2FGyruss.pdf,743295,2aba9dc60fe0740791e61fb049a5e500,,,Gyruss.pdf
docs/ATARI5200/Atari 5200 Manuals/H.E.R.O..pdf,https://archive.org/download/mister-manuals/1982_Atari%205200zip.zip/1982_Atari%205200%2FH.E.R.O..pdf,245008,a053988200bc7529059c2ada8d8bb4e9,,,H.E.R.O..pdf
docs/ATARI5200/Atari 5200 Manuals/James Bond - 007.pdf,https://archive.org/download/mister-manuals/1982_Atari%205200zip.zip/1982_Atari%205200%2FJames%20Bond%20-%20007.pdf,699468,8df523b8f559fb24364018481ebec198,,,James Bond - 007.pdf
docs/ATARI5200/Atari 5200 Manuals/Joust.pdf,https://archive.org/download/mister-manuals/1982_Atari%205200zip.zip/1982_Atari%205200%2FJoust.pdf,629431,fe120cefaa74554661ffda5a44e07131,,,Joust.pdf
docs/ATARI5200/Atari 5200 Manuals/Jr. Pac-Man.pdf,https://archive.org/download/mister-manuals/1982_Atari%205200zip.zip/1982_Atari%205200%2FJr.%20Pac-Man.pdf,455141,c25835e8ac731d4876744e85eb15008a,,,Jr. Pac-Man.pdf
docs/ATARI5200/Atari 5200 Manuals/Jungle Hunt.pdf,https://archive.org/download/mister-manuals/1982_Atari%205200zip.zip/1982_Atari%205200%2FJungle%20Hunt.pdf,689245,2fc48b97d868d510ed52934d14bfb312,,,Jungle Hunt.pdf
docs/ATARI5200/Atari 5200 Manuals/K-Razy Shoot-Out.pdf,https://archive.org/download/mister-manuals/1982_Atari%205200zip.zip/1982_Atari%205200%2FK-Razy%20Shoot-Out.pdf,556069,f515b3199b9aa60d2d15e0200d9be18c,,,K-Razy Shoot-Out.pdf
